source_file,data_type,source_sheet,source_range,source_row,source_cell,date_source_cell,date_range,forecast_date,time_period,time_period_year,time_period_month,forecast_series,resin_index_type,resin_index_level,sourcing_country,value_source_column,value_source_header_cell,value,raw_value_text,formula,forecast_horizon_month,forecast_growth_factor,forecast_uncapped_value,forecast_guardrail_cap_pct,forecast_formula
Index Fprecast\Market Research Index\ICIS Dashboard Price History 2026-05-13 202724.xls,Actual,ICIS Price History,B18:L34,20,L20,B20,Feb-2025,2025-02-01,February 2025,2025,2,PET Fibre Grade FOB Asia NE Assessment Spot 2-6 Weeks Full Market Range Weekly (Mid) : USD/tonne,ICIS Asia NE FOB Fibre Mid,Mid,Asia NE,L,L18,997.5,997.5,997.5,,,,,
Index Fprecast\Market Research Index\ICIS Dashboard Price History 2026-05-13 202724.xls,Actual,ICIS Price History,B18:L34,21,L21,B21,Mar-2025,2025-03-01,March 2025,2025,3,PET Fibre Grade FOB Asia NE Assessment Spot 2-6 Weeks Full Market Range Weekly (Mid) : USD/tonne,ICIS Asia NE FOB Fibre Mid,Mid,Asia NE,L,L18,1000.0,1000.0,1000,,,,,
Index Fprecast\Market Research Index\ICIS Dashboard Price History 2026-05-13 202724.xls,Actual,ICIS Price History,B18:L34,22,L22,B22,Apr-2025,2025-04-01,April 2025,2025,4,PET Fibre Grade FOB Asia NE Assessment Spot 2-6 Weeks Full Market Range Weekly (Mid) : USD/tonne,ICIS Asia NE FOB Fibre Mid,Mid,Asia NE,L,L18,975.0,975.0,975,,,,,
Index Fprecast\Market Research Index\ICIS Dashboard Price History 2026-05-13 202724.xls,Actual,ICIS Price History,B18:L34,23,L23,B23,May-2025,2025-05-01,May 2025,2025,5,PET Fibre Grade FOB Asia NE Assessment Spot 2-6 Weeks Full Market Range Weekly (Mid) : USD/tonne,ICIS Asia NE FOB Fibre Mid,Mid,Asia NE,L,L18,988.0,988.0,988,,,,,
Index Fprecast\Market Research Index\ICIS Dashboard Price History 2026-05-13 202724.xls,Actual,ICIS Price History,B18:L34,24,L24,B24,Jun-2025,2025-06-01,June 2025,2025,6,PET Fibre Grade FOB Asia NE Assessment Spot 2-6 Weeks Full Market Range Weekly (Mid) : USD/tonne,ICIS Asia NE FOB Fibre Mid,Mid,Asia NE,L,L18,985.0,985.0,985,,,,,
Index Fprecast\Market Research Index\ICIS Dashboard Price History 2026-05-13 202724.xls,Actual,ICIS Price History,B18:L34,25,L25,B25,Jul-2025,2025-07-01,July 2025,2025,7,PET Fibre Grade FOB Asia NE Assessment Spot 2-6 Weeks Full Market Range Weekly (Mid) : USD/tonne,ICIS Asia NE FOB Fibre Mid,Mid,Asia NE,L,L18,991.3,991.3,991.3,,,,,
Index Fprecast\Market Research Index\ICIS Dashboard Price History 2026-05-13 202724.xls,Actual,ICIS Price History,B18:L34,26,L26,B26,Aug-2025,2025-08-01,August 2025,2025,8,PET Fibre Grade FOB Asia NE Assessment Spot 2-6 Weeks Full Market Range Weekly (Mid) : USD/tonne,ICIS Asia NE FOB Fibre Mid,Mid,Asia NE,L,L18,992.0,992.0,992,,,,,
Index Fprecast\Market Research Index\ICIS Dashboard Price History 2026-05-13 202724.xls,Actual,ICIS Price History,B18:L34,27,L27,B27,Sep-2025,2025-09-01,September 2025,2025,9,PET Fibre Grade FOB Asia NE Assessment Spot 2-6 Weeks Full Market Range Weekly (Mid) : USD/tonne,ICIS Asia NE FOB Fibre Mid,Mid,Asia NE,L,L18,987.5,987.5,987.5,,,,,
Index Fprecast\Market Research Index\ICIS Dashboard Price History 2026-05-13 202724.xls,Actual,ICIS Price History,B18:L34,28,L28,B28,Oct-2025,2025-10-01,October 2025,2025,10,PET Fibre Grade FOB Asia NE Assessment Spot 2-6 Weeks Full Market Range Weekly (Mid) : USD/tonne,ICIS Asia NE FOB Fibre Mid,Mid,Asia NE,L,L18,977.0,977.0,977,,,,,
Index Fprecast\Market Research Index\ICIS Dashboard Price History 2026-05-13 202724.xls,Actual,ICIS Price History,B18:L34,29,L29,B29,Nov-2025,2025-11-01,November 2025,2025,11,PET Fibre Grade FOB Asia NE Assessment Spot 2-6 Weeks Full Market Range Weekly (Mid) : USD/tonne,ICIS Asia NE FOB Fibre Mid,Mid,Asia NE,L,L18,957.5,957.5,957.5,,,,,
Index Fprecast\Market Research Index\ICIS Dashboard Price History 2026-05-13 202724.xls,Actual,ICIS Price History,B18:L34,30,L30,B30,Dec-2025,2025-12-01,December 2025,2025,12,PET Fibre Grade FOB Asia NE Assessment Spot 2-6 Weeks Full Market Range Weekly (Mid) : USD/tonne,ICIS Asia NE FOB Fibre Mid,Mid,Asia NE,L,L18,951.3,951.3,951.3,,,,,
Index Fprecast\Market Research Index\ICIS Dashboard Price History 2026-05-13 202724.xls,Actual,ICIS Price History,B18:L34,31,L31,B31,Jan-2026,2026-01-01,January 2026,2026,1,PET Fibre Grade FOB Asia NE Assessment Spot 2-6 Weeks Full Market Range Weekly (Mid) : USD/tonne,ICIS Asia NE FOB Fibre Mid,Mid,Asia NE,L,L18,970.0,970.0,970,,,,,
Index Fprecast\Market Research Index\ICIS Dashboard Price History 2026-05-13 202724.xls,Actual,ICIS Price History,B18:L34,32,L32,B32,Feb-2026,2026-02-01,February 2026,2026,2,PET Fibre Grade FOB Asia NE Assessment Spot 2-6 Weeks Full Market Range Weekly (Mid) : USD/tonne,ICIS Asia NE FOB Fibre Mid,Mid,Asia NE,L,L18,982.5,982.5,982.5,,,,,
Index Fprecast\Market Research Index\ICIS Dashboard Price History 2026-05-13 202724.xls,Actual,ICIS Price History,B18:L34,33,L33,B33,Mar-2026,2026-03-01,March 2026,2026,3,PET Fibre Grade FOB Asia NE Assessment Spot 2-6 Weeks Full Market Range Weekly (Mid) : USD/tonne,ICIS Asia NE FOB Fibre Mid,Mid,Asia NE,L,L18,1237.5,1237.5,1237.5,,,,,
Index Fprecast\Market Research Index\ICIS Dashboard Price History 2026-05-13 202724.xls,Actual,ICIS Price History,B18:L34,34,L34,B34,Apr-2026,2026-04-01,April 2026,2026,4,PET Fibre Grade FOB Asia NE Assessment Spot 2-6 Weeks Full Market Range Weekly (Mid) : USD/tonne,ICIS Asia NE FOB Fibre Mid,Mid,Asia NE,L,L18,1336.3,1336.3,1336.3,,,,,
Index Fprecast\Market Research Index\ICIS Dashboard Price History 2026-05-13 202724.xls,Forecast,ICIS Price History,B18:L34 forecast,,,,May-2026,2026-05-01,May 2026,2026,5,PET Fibre Grade FOB Asia NE Assessment Spot 2-6 Weeks Full Market Range Weekly (Mid) : USD/tonne,ICIS Asia NE FOB Fibre Mid,Mid,Asia NE,L,L18,1229.396,,"Forecast May 2026 = MIN(MAX(Actual May 2025 * Growth Factor, Prior Value * (1 - 8%)), Prior Value * (1 + 8%)); Growth Factor = AVERAGE(Actual Jan-Apr 2026 / Actual Jan-Apr 2025).",1,1.1452016373280842,1131.4592176801473,0.08,"Forecast May 2026 = MIN(MAX(Actual May 2025 * Growth Factor, Prior Value * (1 - 8%)), Prior Value * (1 + 8%)); Growth Factor = AVERAGE(Actual Jan-Apr 2026 / Actual Jan-Apr 2025)."
Index Fprecast\Market Research Index\ICIS Dashboard Price History 2026-05-13 202724.xls,Forecast,ICIS Price History,B18:L34 forecast,,,,Jun-2026,2026-06-01,June 2026,2026,6,PET Fibre Grade FOB Asia NE Assessment Spot 2-6 Weeks Full Market Range Weekly (Mid) : USD/tonne,ICIS Asia NE FOB Fibre Mid,Mid,Asia NE,L,L18,1131.04432,,"Forecast June 2026 = MIN(MAX(Actual June 2025 * Growth Factor, Prior Value * (1 - 8%)), Prior Value * (1 + 8%)); Growth Factor = AVERAGE(Actual Jan-Apr 2026 / Actual Jan-Apr 2025).",2,1.1452016373280842,1128.023612768163,0.08,"Forecast June 2026 = MIN(MAX(Actual June 2025 * Growth Factor, Prior Value * (1 - 8%)), Prior Value * (1 + 8%)); Growth Factor = AVERAGE(Actual Jan-Apr 2026 / Actual Jan-Apr 2025)."
