source_file,source_sheet,source_range,source_cell,metric_row,metric_label_source_row,period_header_source_sheet,period_header_source_row,section_name,supplier,metric_name,metric_detail,price_period,time_period,time_period_year,time_period_month,value,formula
C:\Users\40100123\OneDrive - Anheuser-Busch InBev\GAC\PET\Data Model\PET_Data_Model\data\04. Engepack.xlsx,Índices,B2:AT5,R4,4,4,Índices,2,Atualização,,Maxiquim MME (M-1),,2023-12-01 00:00:00,December 2023,2023,12,3500,3500
C:\Users\40100123\OneDrive - Anheuser-Busch InBev\GAC\PET\Data Model\PET_Data_Model\data\04. Engepack.xlsx,Índices,B2:AT5,S4,4,4,Índices,2,Atualização,,Maxiquim MME (M-1),,2024-01-01 00:00:00,January 2024,2024,1,3600,3600
C:\Users\40100123\OneDrive - Anheuser-Busch InBev\GAC\PET\Data Model\PET_Data_Model\data\04. Engepack.xlsx,Índices,B2:AT5,T4,4,4,Índices,2,Atualização,,Maxiquim MME (M-1),,2024-02-01 00:00:00,February 2024,2024,2,3600,3600
C:\Users\40100123\OneDrive - Anheuser-Busch InBev\GAC\PET\Data Model\PET_Data_Model\data\04. Engepack.xlsx,Índices,B2:AT5,U4,4,4,Índices,2,Atualização,,Maxiquim MME (M-1),,2024-03-01 00:00:00,March 2024,2024,3,3650,3650
C:\Users\40100123\OneDrive - Anheuser-Busch InBev\GAC\PET\Data Model\PET_Data_Model\data\04. Engepack.xlsx,Índices,B2:AT5,V4,4,4,Índices,2,Atualização,,Maxiquim MME (M-1),,2024-04-01 00:00:00,April 2024,2024,4,3700,3700
C:\Users\40100123\OneDrive - Anheuser-Busch InBev\GAC\PET\Data Model\PET_Data_Model\data\04. Engepack.xlsx,Índices,B2:AT5,W4,4,4,Índices,2,Atualização,,Maxiquim MME (M-1),,2024-05-01 00:00:00,May 2024,2024,5,3750,3750
C:\Users\40100123\OneDrive - Anheuser-Busch InBev\GAC\PET\Data Model\PET_Data_Model\data\04. Engepack.xlsx,Índices,B2:AT5,X4,4,4,Índices,2,Atualização,,Maxiquim MME (M-1),,2024-06-01 00:00:00,June 2024,2024,6,3950,3950
C:\Users\40100123\OneDrive - Anheuser-Busch InBev\GAC\PET\Data Model\PET_Data_Model\data\04. Engepack.xlsx,Índices,B2:AT5,Y4,4,4,Índices,2,Atualização,,Maxiquim MME (M-1),,2024-07-01 00:00:00,July 2024,2024,7,4350,4350
C:\Users\40100123\OneDrive - Anheuser-Busch InBev\GAC\PET\Data Model\PET_Data_Model\data\04. Engepack.xlsx,Índices,B2:AT5,Z4,4,4,Índices,2,Atualização,,Maxiquim MME (M-1),,2024-08-01 00:00:00,August 2024,2024,8,4750,4750
C:\Users\40100123\OneDrive - Anheuser-Busch InBev\GAC\PET\Data Model\PET_Data_Model\data\04. Engepack.xlsx,Índices,B2:AT5,AA4,4,4,Índices,2,Atualização,,Maxiquim MME (M-1),,2024-09-01 00:00:00,September 2024,2024,9,5150,5150
C:\Users\40100123\OneDrive - Anheuser-Busch InBev\GAC\PET\Data Model\PET_Data_Model\data\04. Engepack.xlsx,Índices,B2:AT5,AB4,4,4,Índices,2,Atualização,,Maxiquim MME (M-1),,2024-10-01 00:00:00,October 2024,2024,10,5500,5500
C:\Users\40100123\OneDrive - Anheuser-Busch InBev\GAC\PET\Data Model\PET_Data_Model\data\04. Engepack.xlsx,Índices,B2:AT5,AC4,4,4,Índices,2,Atualização,,Maxiquim MME (M-1),,2024-11-01 00:00:00,November 2024,2024,11,6150,6150
C:\Users\40100123\OneDrive - Anheuser-Busch InBev\GAC\PET\Data Model\PET_Data_Model\data\04. Engepack.xlsx,Índices,B2:AT5,AD4,4,4,Índices,2,Atualização,,Maxiquim MME (M-1),,2024-12-01 00:00:00,December 2024,2024,12,6150,6150
C:\Users\40100123\OneDrive - Anheuser-Busch InBev\GAC\PET\Data Model\PET_Data_Model\data\04. Engepack.xlsx,Índices,B2:AT5,AE4,4,4,Índices,2,Atualização,,Maxiquim MME (M-1),,2025-01-01 00:00:00,January 2025,2025,1,6200,6200
C:\Users\40100123\OneDrive - Anheuser-Busch InBev\GAC\PET\Data Model\PET_Data_Model\data\04. Engepack.xlsx,Índices,B2:AT5,AF4,4,4,Índices,2,Atualização,,Maxiquim MME (M-1),,2025-02-01 00:00:00,February 2025,2025,2,6300,6300
C:\Users\40100123\OneDrive - Anheuser-Busch InBev\GAC\PET\Data Model\PET_Data_Model\data\04. Engepack.xlsx,Índices,B2:AT5,AG4,4,4,Índices,2,Atualização,,Maxiquim MME (M-1),,2025-03-01 00:00:00,March 2025,2025,3,6300,6300
C:\Users\40100123\OneDrive - Anheuser-Busch InBev\GAC\PET\Data Model\PET_Data_Model\data\04. Engepack.xlsx,Índices,B2:AT5,AH4,4,4,Índices,2,Atualização,,Maxiquim MME (M-1),,2025-04-01 00:00:00,April 2025,2025,4,6150,6150
C:\Users\40100123\OneDrive - Anheuser-Busch InBev\GAC\PET\Data Model\PET_Data_Model\data\04. Engepack.xlsx,Índices,B2:AT5,AI4,4,4,Índices,2,Atualização,,Maxiquim MME (M-1),,2025-05-01 00:00:00,May 2025,2025,5,5600,5600
C:\Users\40100123\OneDrive - Anheuser-Busch InBev\GAC\PET\Data Model\PET_Data_Model\data\04. Engepack.xlsx,Índices,B2:AT5,AJ4,4,4,Índices,2,Atualização,,Maxiquim MME (M-1),,2025-06-01 00:00:00,June 2025,2025,6,5150,5150
