Data Type,Source File ,Supplier Name,Destination Country,Time_Period ,Time Period Year,Time Period Month,Raw Cost Breakdown,Resin Index Type,Forecast Resin Index Type,Mapping Columns,Column Required for Calculation,Value ,TLC Formula
Forecast,Pricing_Pref-Bot_ABI_PER_Men_4_26_Cliente.xlsx,San Miguel Industrias (SMI),Peru,October 2026,2026,10,FOB Price,ICIS Asia SE Low (M-2),ICIS Asia SE Low,Resin Index vPET,Yes,1644.181256436663,PET Resin USD/Ton = (ICIS+OF)*(1+IT)+CC
Forecast,Pricing_Pref-Bot_ABI_PER_Men_4_26_Cliente.xlsx,San Miguel Industrias (SMI),Peru,October 2026,2026,10,Ocean Freight,ICIS Asia SE Low (M-2),ICIS Asia SE Low,Freight,Yes,161.0,PET Resin USD/Ton = (ICIS+OF)*(1+IT)+CC
Forecast,Pricing_Pref-Bot_ABI_PER_Men_4_26_Cliente.xlsx,San Miguel Industrias (SMI),Peru,October 2026,2026,10,CIF Price,ICIS Asia SE Low (M-2),ICIS Asia SE Low,Sub Total (CIF),Yes,1805.181256436663,PET Resin USD/Ton = (ICIS+OF)*(1+IT)+CC
Forecast,Pricing_Pref-Bot_ABI_PER_Men_4_26_Cliente.xlsx,San Miguel Industrias (SMI),Peru,October 2026,2026,10,Import Clearance,ICIS Asia SE Low (M-2),ICIS Asia SE Low,Tax,Yes,35.0,PET Resin USD/Ton = (ICIS+OF)*(1+IT)+CC
Forecast,Pricing_Pref-Bot_ABI_PER_Men_4_26_Cliente.xlsx,San Miguel Industrias (SMI),Peru,October 2026,2026,10,vPET Value,ICIS Asia SE Low (M-2),ICIS Asia SE Low,Total Landing Cost,Yes,1840.181256436663,PET Resin USD/Ton = (ICIS+OF)*(1+IT)+CC
Forecast,Pricing_Pref-Bot_ABI_PER_Men_4_26_Cliente.xlsx,San Miguel Industrias (SMI),Peru,November 2026,2026,11,FOB Price,ICIS Asia SE Low (M-2),ICIS Asia SE Low,Resin Index vPET,Yes,1733.4419109663406,PET Resin USD/Ton = (ICIS+OF)*(1+IT)+CC
Forecast,Pricing_Pref-Bot_ABI_PER_Men_4_26_Cliente.xlsx,San Miguel Industrias (SMI),Peru,November 2026,2026,11,Ocean Freight,ICIS Asia SE Low (M-2),ICIS Asia SE Low,Freight,Yes,161.0,PET Resin USD/Ton = (ICIS+OF)*(1+IT)+CC
Forecast,Pricing_Pref-Bot_ABI_PER_Men_4_26_Cliente.xlsx,San Miguel Industrias (SMI),Peru,November 2026,2026,11,CIF Price,ICIS Asia SE Low (M-2),ICIS Asia SE Low,Sub Total (CIF),Yes,1894.4419109663406,PET Resin USD/Ton = (ICIS+OF)*(1+IT)+CC
Forecast,Pricing_Pref-Bot_ABI_PER_Men_4_26_Cliente.xlsx,San Miguel Industrias (SMI),Peru,November 2026,2026,11,Import Clearance,ICIS Asia SE Low (M-2),ICIS Asia SE Low,Tax,Yes,35.0,PET Resin USD/Ton = (ICIS+OF)*(1+IT)+CC
Forecast,Pricing_Pref-Bot_ABI_PER_Men_4_26_Cliente.xlsx,San Miguel Industrias (SMI),Peru,November 2026,2026,11,vPET Value,ICIS Asia SE Low (M-2),ICIS Asia SE Low,Total Landing Cost,Yes,1929.4419109663406,PET Resin USD/Ton = (ICIS+OF)*(1+IT)+CC
Forecast,Pricing_Pref-Bot_ABI_PER_Men_4_26_Cliente.xlsx,San Miguel Industrias (SMI),Peru,December 2026,2026,12,FOB Price,ICIS Asia SE Low (M-2),ICIS Asia SE Low,Resin Index vPET,Yes,1773.8888888888887,PET Resin USD/Ton = (ICIS+OF)*(1+IT)+CC
Forecast,Pricing_Pref-Bot_ABI_PER_Men_4_26_Cliente.xlsx,San Miguel Industrias (SMI),Peru,December 2026,2026,12,Ocean Freight,ICIS Asia SE Low (M-2),ICIS Asia SE Low,Freight,Yes,161.0,PET Resin USD/Ton = (ICIS+OF)*(1+IT)+CC
Forecast,Pricing_Pref-Bot_ABI_PER_Men_4_26_Cliente.xlsx,San Miguel Industrias (SMI),Peru,December 2026,2026,12,CIF Price,ICIS Asia SE Low (M-2),ICIS Asia SE Low,Sub Total (CIF),Yes,1934.8888888888887,PET Resin USD/Ton = (ICIS+OF)*(1+IT)+CC
Forecast,Pricing_Pref-Bot_ABI_PER_Men_4_26_Cliente.xlsx,San Miguel Industrias (SMI),Peru,December 2026,2026,12,Import Clearance,ICIS Asia SE Low (M-2),ICIS Asia SE Low,Tax,Yes,35.0,PET Resin USD/Ton = (ICIS+OF)*(1+IT)+CC
Forecast,Pricing_Pref-Bot_ABI_PER_Men_4_26_Cliente.xlsx,San Miguel Industrias (SMI),Peru,December 2026,2026,12,vPET Value,ICIS Asia SE Low (M-2),ICIS Asia SE Low,Total Landing Cost,Yes,1969.8888888888887,PET Resin USD/Ton = (ICIS+OF)*(1+IT)+CC
