Data Type,Source File ,Supplier Name,Destination Country,Time_Period ,Time Period Year,Time Period Month,Location,Raw Cost Breakdown,Resin Index Type,Forecast Resin Index Type,Mapping Columns,Column Required for Calculation,Value ,TLC Formula
Actual,04. Engepack.xlsx,Engepack,Brazil,September 2023,2023,9,,Maxiquim MME (M-1),IHS (M-1),,Others,Yes,3500,Total Landing Cost $ = (IHS (M-1) + Adjusted Freight) * (1 + Internalization Cost - Discount) + Other Cost
Actual,04. Engepack.xlsx,Engepack,Brazil,September 2023,2023,9,,IHS (M-1),IHS (M-1),,Resin Index vPET,Yes,889,Total Landing Cost $ = (IHS (M-1) + Adjusted Freight) * (1 + Internalization Cost - Discount) + Other Cost
Actual,04. Engepack.xlsx,Engepack,Brazil,September 2023,2023,9,,Total Landing Cost,IHS (M-1),,Total Landing Cost,Yes,6929.9429661,Total Landing Cost $ = (IHS (M-1) + Adjusted Freight) * (1 + Internalization Cost - Discount) + Other Cost
Actual,04. Engepack.xlsx,Engepack,Brazil,September 2023,2023,9,,Total Landing Cost $,IHS (M-1),,Total Landing Cost,Yes,1413.2646,Total Landing Cost $ = (IHS (M-1) + Adjusted Freight) * (1 + Internalization Cost - Discount) + Other Cost
Actual,04. Engepack.xlsx,Engepack,Brazil,October 2023,2023,10,,Freight,IHS (M-1),,Freight,Yes,94.23530864197532,Total Landing Cost $ = (IHS (M-1) + Adjusted Freight) * (1 + Internalization Cost - Discount) + Other Cost
Actual,04. Engepack.xlsx,Engepack,Brazil,October 2023,2023,10,,Fx (M-1),IHS (M-1),,Fx,No,4.93699,Total Landing Cost $ = (IHS (M-1) + Adjusted Freight) * (1 + Internalization Cost - Discount) + Other Cost
Actual,04. Engepack.xlsx,Engepack,Brazil,October 2023,2023,10,,Maxiquim MME (M-1),IHS (M-1),,Others,Yes,3400,Total Landing Cost $ = (IHS (M-1) + Adjusted Freight) * (1 + Internalization Cost - Discount) + Other Cost
Actual,04. Engepack.xlsx,Engepack,Brazil,October 2023,2023,10,,IHS (M-1),IHS (M-1),,Resin Index vPET,Yes,898.75,Total Landing Cost $ = (IHS (M-1) + Adjusted Freight) * (1 + Internalization Cost - Discount) + Other Cost
Actual,04. Engepack.xlsx,Engepack,Brazil,October 2023,2023,10,,Total Landing Cost,IHS (M-1),,Total Landing Cost,Yes,6991.533912590777,Total Landing Cost $ = (IHS (M-1) + Adjusted Freight) * (1 + Internalization Cost - Discount) + Other Cost
Actual,04. Engepack.xlsx,Engepack,Brazil,October 2023,2023,10,,Total Landing Cost $,IHS (M-1),,Total Landing Cost,Yes,1416.153144444444,Total Landing Cost $ = (IHS (M-1) + Adjusted Freight) * (1 + Internalization Cost - Discount) + Other Cost
Actual,04. Engepack.xlsx,Engepack,Brazil,November 2023,2023,11,,Freight,IHS (M-1),,Freight,Yes,100.3538271604938,Total Landing Cost $ = (IHS (M-1) + Adjusted Freight) * (1 + Internalization Cost - Discount) + Other Cost
