source_file,source_sheet,source_range,source_row,source_cell,date_source_cell,date_range,forecast_date,time_period,time_period_year,time_period_month,forecast_series,resin_index_type,value_source_column,value_source_header_cell,value,raw_value_text,formula
Forecast\ICIS Dashboard Price Forecast 2026-04-17 221720.xls,ICIS Price Forecast,B13:D82,48,D48,B48,12-Dec-2025,2025-12-12,December 2025,2025,12,PET Bottle Grade FOB China Spot 4-12 Weeks Full Market Range,PET Bottle Grade FOB China Spot,D,D13,747.5,747.50,747.50
Forecast\ICIS Dashboard Price Forecast 2026-04-17 221720.xls,ICIS Price Forecast,B13:D82,49,D49,B49,19-Dec-2025,2025-12-19,December 2025,2025,12,PET Bottle Grade FOB China Spot 4-12 Weeks Full Market Range,PET Bottle Grade FOB China Spot,D,D13,750.0,750.00,750.00
Forecast\ICIS Dashboard Price Forecast 2026-04-17 221720.xls,ICIS Price Forecast,B13:D82,50,D50,B50,26-Dec-2025,2025-12-26,December 2025,2025,12,PET Bottle Grade FOB China Spot 4-12 Weeks Full Market Range,PET Bottle Grade FOB China Spot,D,D13,770.0,770.00,770.00
Forecast\ICIS Dashboard Price Forecast 2026-04-17 221720.xls,ICIS Price Forecast,B13:D82,51,D51,B51,09-Jan-2026,2026-01-09,January 2026,2026,1,PET Bottle Grade FOB China Spot 4-12 Weeks Full Market Range,PET Bottle Grade FOB China Spot,D,D13,800.0,800,800
Forecast\ICIS Dashboard Price Forecast 2026-04-17 221720.xls,ICIS Price Forecast,B13:D82,52,D52,B52,16-Jan-2026,2026-01-16,January 2026,2026,1,PET Bottle Grade FOB China Spot 4-12 Weeks Full Market Range,PET Bottle Grade FOB China Spot,D,D13,802.5,802.5,802.5
Forecast\ICIS Dashboard Price Forecast 2026-04-17 221720.xls,ICIS Price Forecast,B13:D82,53,D53,B53,23-Jan-2026,2026-01-23,January 2026,2026,1,PET Bottle Grade FOB China Spot 4-12 Weeks Full Market Range,PET Bottle Grade FOB China Spot,D,D13,825.0,825,825
Forecast\ICIS Dashboard Price Forecast 2026-04-17 221720.xls,ICIS Price Forecast,B13:D82,54,D54,B54,30-Jan-2026,2026-01-30,January 2026,2026,1,PET Bottle Grade FOB China Spot 4-12 Weeks Full Market Range,PET Bottle Grade FOB China Spot,D,D13,845.0,845,845
Forecast\ICIS Dashboard Price Forecast 2026-04-17 221720.xls,ICIS Price Forecast,B13:D82,55,D55,B55,06-Feb-2026,2026-02-06,February 2026,2026,2,PET Bottle Grade FOB China Spot 4-12 Weeks Full Market Range,PET Bottle Grade FOB China Spot,D,D13,830.0,830,830
Forecast\ICIS Dashboard Price Forecast 2026-04-17 221720.xls,ICIS Price Forecast,B13:D82,56,D56,B56,13-Feb-2026,2026-02-13,February 2026,2026,2,PET Bottle Grade FOB China Spot 4-12 Weeks Full Market Range,PET Bottle Grade FOB China Spot,D,D13,837.5,837.5,837.5
Forecast\ICIS Dashboard Price Forecast 2026-04-17 221720.xls,ICIS Price Forecast,B13:D82,57,D57,B57,27-Feb-2026,2026-02-27,February 2026,2026,2,PET Bottle Grade FOB China Spot 4-12 Weeks Full Market Range,PET Bottle Grade FOB China Spot,D,D13,847.5,847.5,847.5
